,a,b,c,d
0,8.290486408490949e-09,6.7626166888601355e-09,-0.0029879427174226,0.2108904690571718
1,-8.062077292744175e-09,7.166935556945743e-06,-0.0037503525527942,1.3202377639246428
2,-5.0746410822074605e-09,7.285482186851717e-06,-0.0033678308340535,1.1833763796367534
3,-4.1565393418785406e-09,4.669738058792893e-06,-0.0035374344243546,1.2011969441859207
4,1.102567626676812e-08,-2.733346922269996e-06,-0.0024628165470477,0.3239930149082402
5,-8.424145820225946e-09,6.159419629112518e-06,-0.003012193936982,0.3526890730485682
6,1.3762388239833856e-08,-1.2255218988653888e-06,-0.0036730714201663,0.211543215948673
7,-6.240281361187408e-09,7.986257852332742e-06,-0.0048939202029085,0.221928237785394
8,-3.52804452319333e-11,5.251484988422206e-06,-0.0048448524196791,0.1818416353729218
9,-1.175347315608038e-08,1.1334324610292771e-05,-0.0046972807245186,0.3243646866294389
10,-2.610856864038169e-09,8.540704383275255e-06,-0.0042233064925363,0.2175360943351804
11,-6.902050217188295e-09,7.351544082978153e-06,-0.0030747862680609,0.6816996191017991
12,-9.424514936587086e-09,9.250886601515545e-06,-0.0043384821362001,0.1961506532875252
13,-3.113964641698885e-09,6.761804763111279e-06,-0.0048996972122539,0.1797287970519601
14,-4.797479746798672e-09,9.223449709994114e-06,-0.0048275909022004,0.334861337130276
15,-1.1376725715135544e-08,9.276975966491789e-06,-0.0033775188047756,0.2248396668457905
16,-2.3227312581073e-09,5.403951663917945e-06,-0.0039607462515137,0.1551541580993915
17,-4.0253585633744854e-09,8.701086423595128e-06,-0.0044771507497582,0.4786250774529879
18,-4.061362266528373e-09,4.88099319014346e-06,-0.0036501805607332,0.4038013303821304
19,1.6131147528852807e-09,3.494251216262789e-06,-0.0031355749219998,0.7633937145745542
20,8.694948193478299e-09,1.6320639437244075e-06,-0.0043256476791443,0.2685421587078765
21,-1.1148473836411346e-08,9.543009538544352e-06,-0.0051053094465791,2.060644552756431
22,-9.884791612087996e-09,1.1044622610186106e-05,-0.0045416754027847,1.779917036624767
23,-6.224320170389319e-09,6.592258899429382e-06,-0.0048557712204029,1.7701938253517926
24,1.2815306260627324e-08,-2.2957826615321864e-06,-0.0035522488543136,0.5161394366197818
25,-1.2228228798933449e-08,8.790916292965055e-06,-0.0042291337395577,0.4926331366293146
26,2.213287664254437e-08,-3.867408522761906e-06,-0.004754256917373,0.2776411039519659
27,-6.392738074287461e-09,9.552749970251618e-06,-0.0065920867258158,0.2961073084212541
28,4.114444727153037e-09,4.451997395717052e-06,-0.0063099824507754,0.2372966972695764
29,-1.8152590982708027e-08,1.6609531548741993e-05,-0.0064919463697734,0.4521092419095643
30,-8.476110800077171e-09,1.50280477687068e-05,-0.0063318965526985,0.2947399731805681
31,-2.86064701693832e-09,5.882866836064761e-06,-0.0033929392585948,0.9745553136927616
32,-1.471798818703836e-08,1.3826165759344775e-05,-0.0061901080853272,0.2743666285676365
33,1.238466551534145e-09,5.897714996483394e-06,-0.0062882233459453,0.2318273179739873
34,-9.248691172429182e-09,1.3876934464129553e-05,-0.0065814074331635,0.418722337921967
35,-1.5026605421486496e-08,1.2607355428477513e-05,-0.0047103697604324,0.3140621500639459
36,-2.238102148055532e-09,8.507593556972282e-06,-0.0061497294024381,0.2259040425413192
37,-9.468391915324072e-09,1.393490939515124e-05,-0.0063478226703417,0.6978107552361723
38,-8.28291063574418e-09,8.247129849723768e-06,-0.0053134876595215,0.657134863184286
39,3.336163900691247e-09,4.486870471054338e-06,-0.0044012369094901,1.2723807202896262
40,2.6365148656863293e-08,-1.116928276860639e-06,-0.0081594395284319,0.5569127913357192
41,-1.7820926068168322e-08,2.058410819671952e-05,-0.0111775134203253,2.9259958182959847
42,-1.6268528302276763e-08,2.3706773720988394e-05,-0.0102475406823818,2.745525272289822
43,-1.10625435478795e-08,1.5234838310673736e-05,-0.0101663621898422,2.784146659442765
44,4.227039721811996e-08,-1.4997258593751178e-05,-0.0053151939533553,0.6223368695581901
45,-3.073472565340296e-08,2.31037723098515e-05,-0.0086748130608793,0.8342822503777468
46,4.0521461116986295e-08,-3.637070452319781e-06,-0.0102247471874621,0.589244782652062
47,2.8023861009529583e-10,1.408072216135814e-05,-0.0129692063163577,0.6126556616491263
48,2.0626921162889585e-08,4.799387088499034e-06,-0.0124725120870118,0.4972058923763033
49,-3.822813783397689e-08,3.634849909071669e-05,-0.0138571936212747,0.829253357259784
50,-1.4929025056877186e-08,2.8103759260954705e-05,-0.011985278589618,0.6070722208960921
